unique_id,block_num,unit_count,case_type_name,submission_year,block_address,occupancy_type,occupancy_or_vacancy_date,occupancy_or_vacancy_date_year,bedroom_count,bathroom_count,square_footage,monthly_rent,base_rent_includes_water_sewer,base_rent_includes_natural_gas,base_rent_includes_electricity,base_rent_includes_refuse_recycling,base_rent_includes_other_utilities,past_occupancy,vacancy_date,signature_date,occupancy_or_vacancy_date_history,year_property_built,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
9017847422658502484,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2001-10-13T00:00:00.000,2001,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3251-$3500,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
2278627159518218858,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2022-08-06T00:00:00.000,2022,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3751-$4000,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
5449969572020752911,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1988-11-01T00:00:00.000,1988,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
2127550761333635336,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2017-11-15T00:00:00.000,2017,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3501-$3750,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-4896365951300219446,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1996-12-01T00:00:00.000,1996,One-Bedroom,One bathroom,751-1000 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-6353784599904010667,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2000-04-14T00:00:00.000,2000,One-Bedroom,One bathroom,751-1000 Sq.Ft,$2501-$2750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-8309500904637076596,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2005-10-23T00:00:00.000,2005,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$2251-$2500,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-843672484246546802,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2010-09-10T00:00:00.000,2010,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$2751-$3000,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-6049969306999198380,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2017-12-31T00:00:00.000,2017,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3001-$3250,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-1635467704095291680,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2009-12-11T00:00:00.000,2009,One-Bedroom,One bathroom,751-1000 Sq.Ft,$2501-$2750,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
6902935339879631640,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1996-07-01T00:00:00.000,1996,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
